No Partido,Fecha y Hora,Match,Local,Visitante,Resultado,Marcador No Definitivo,Estadio,Goles Local,Goles Visitante
1,30 May 1962,Group 1,Uruguay,Colombia,2-1,,"Estadio Carlos Dittborn, Arica",,
5,31 May 1962,Group 1,Soviet Union,Yugoslavia,2-0,,"Estadio Carlos Dittborn, Arica",,
9,2 June 1962,Group 1,Yugoslavia,Uruguay,3-1,,"Estadio Carlos Dittborn, Arica",,
13,3 June 1962,Group 1,Soviet Union,Colombia,4-4,,"Estadio Carlos Dittborn, Arica",,
17,6 June 1962,Group 1,Soviet Union,Uruguay,2-1,,"Estadio Carlos Dittborn, Arica",,
21,7 June 1962,Group 1,Yugoslavia,Colombia,5-0,,"Estadio Carlos Dittborn, Arica",,
2,30 May 1962,Group 2,Chile,Switzerland,3-1,,"Estadio Nacional, Santiago",,
6,31 May 1962,Group 2,West Germany,Italy,0-0,,"Estadio Nacional, Santiago",,
10,2 June 1962,Group 2,Chile,Italy,2-0,,"Estadio Nacional, Santiago",,
14,3 June 1962,Group 2,West Germany,Switzerland,2-1,,"Estadio Nacional, Santiago",,
18,6 June 1962,Group 2,West Germany,Chile,2-0,,"Estadio Nacional, Santiago",,
22,7 June 1962,Group 2,Italy,Switzerland,3-0,,"Estadio Nacional, Santiago",,
3,30 May 1962,Group 3,Brazil,Mexico,2-0,,"Estadio Sausalito, Viña del Mar",,
7,31 May 1962,Group 3,Czechoslovakia,Spain,1-0,,"Estadio Sausalito, Viña del Mar",,
11,2 June 1962,Group 3,Brazil,Czechoslovakia,0-0,,"Estadio Sausalito, Viña del Mar",,
15,3 June 1962,Group 3,Spain,Mexico,1-0,,"Estadio Sausalito, Viña del Mar",,
19,6 June 1962,Group 3,Brazil,Spain,2-1,,"Estadio Sausalito, Viña del Mar",,
23,7 June 1962,Group 3,Mexico,Czechoslovakia,3-1,,"Estadio Sausalito, Viña del Mar",,
4,30 May 1962,Group 4,Argentina,Bulgaria,1-0,,"Estadio El Teniente, Rancagua",,
8,31 May 1962,Group 4,Hungary,England,2-1,,"Estadio El Teniente, Rancagua",,
12,2 June 1962,Group 4,England,Argentina,3-1,,"Estadio El Teniente, Rancagua",,
16,3 June 1962,Group 4,Hungary,Bulgaria,6-1,,"Estadio El Teniente, Rancagua",,
20,6 June 1962,Group 4,Hungary,Argentina,0-0,,"Estadio El Teniente, Rancagua",,
24,7 June 1962,Group 4,England,Bulgaria,0-0,,"Estadio El Teniente, Rancagua",,
25,10 June 1962,Quarter finals,Chile,Soviet Union,2-1,,"Estadio Carlos Dittborn, Arica",,
26,10 June 1962,Quarter finals,Yugoslavia,West Germany,1-0,,"Estadio Nacional, Santiago",,
27,10 June 1962,Quarter finals,Brazil,England,3-1,,"Estadio Sausalito, Viña del Mar",,
28,10 June 1962,Quarter finals,Czechoslovakia,Hungary,1-0,,"Estadio El Teniente, Rancagua",,
29,13 June 1962,Semi finals,Brazil,Chile,4-2,,"Estadio Nacional, Santiago",,
30,13 June 1962,Semi finals,Czechoslovakia,Yugoslavia,3-1,,"Estadio Sausalito, Viña del Mar",,
31,16 June 1962,Third place match,Chile,Yugoslavia,1-0,,"Estadio Nacional, Santiago",,
32,17 June 1962,Final,Brazil,Czechoslovakia,3-1,,"Estadio Nacional, Santiago",,
1,11 July 1966,Group 1,England,Uruguay,0-0,,"Wembley Stadium, London",,
5,13 July 1966,Group 1,France,Mexico,1-1,,"Wembley Stadium, London",,
9,15 July 1966,Group 1,Uruguay,France,2-1,,"White City Stadium, London",,
13,16 July 1966,Group 1,England,Mexico,2-0,,"Wembley Stadium, London",,
17,19 July 1966,Group 1,Mexico,Uruguay,0-0,,"Wembley Stadium, London",,
21,20 July 1966,Group 1,England,France,2-0,,"Wembley Stadium, London",,
2,12 July 1966,Group 2,West Germany,Switzerland,5-0,,"Hillsborough Stadium, Sheffield",,
6,13 July 1966,Group 2,Argentina,Spain,2-1,,"Villa Park, Birmingham",,
10,15 July 1966,Group 2,Spain,Switzerland,2-1,,"Hillsborough Stadium, Sheffield",,
14,16 July 1966,Group 2,Argentina,West Germany,0-0,,"Villa Park, Birmingham",,
18,19 July 1966,Group 2,Argentina,Switzerland,2-0,,"Hillsborough Stadium, Sheffield",,
22,20 July 1966,Group 2,West Germany,Spain,2-1,,"Villa Park, Birmingham",,
3,12 July 1966,Group 3,Brazil,Bulgaria,2-0,,"Goodison Park, Liverpool",,
7,13 July 1966,Group 3,Portugal,Hungary,3-1,,"Old Trafford, Manchester",,
11,15 July 1966,Group 3,Hungary,Brazil,3-1,,"Goodison Park, Liverpool",,
15,16 July 1966,Group 3,Portugal,Bulgaria,3-0,,"Old Trafford, Manchester",,
19,19 July 1966,Group 3,Portugal,Brazil,3-1,,"Goodison Park, Liverpool",,
23,20 July 1966,Group 3,Hungary,Bulgaria,3-1,,"Old Trafford, Manchester",,
4,12 July 1966,Group 4,Soviet Union,North Korea,3-0,,"Ayresome Park, Middlesbrough",,
8,13 July 1966,Group 4,Italy,Chile,2-0,,"Roker Park, Sunderland",,
12,15 July 1966,Group 4,Chile,North Korea,1-1,,"Ayresome Park, Middlesbrough",,
16,16 July 1966,Group 4,Soviet Union,Italy,1-0,,"Roker Park, Sunderland",,
20,19 July 1966,Group 4,North Korea,Italy,1-0,,"Ayresome Park, Middlesbrough",,
24,20 July 1966,Group 4,Soviet Union,Chile,2-1,,"Roker Park, Sunderland",,
25,23 July 1966,Quarter finals,England,Argentina,1-0,,"Wembley Stadium, London",,
26,23 July 1966,Quarter finals,West Germany,Uruguay,4-0,,"Hillsborough Stadium, Sheffield",,
27,23 July 1966,Quarter finals,Soviet Union,Hungary,2-1,,"Roker Park, Sunderland",,
28,23 July 1966,Quarter finals,Portugal,North Korea,5-3,,"Goodison Park, Liverpool",,
29,25 July 1966,Semi finals,West Germany,Soviet Union,2-1,,"Goodison Park, Liverpool",,
30,26 July 1966,Semi finals,England,Portugal,2-1,,"Wembley Stadium, London",,
31,28 July 1966,Third place match,Portugal,Soviet Union,2-1,,"Wembley Stadium, London",,
