No Partido,Fecha y Hora,Match,Local,Visitante,Resultado,Marcador No Definitivo,Estadio,Goles Local,Goles Visitante
64,Sun Jul/13 2014 16:00,Final,Germany,Argentina,"1-0 a.e.t. (0-0, 0-0)","(0-0, 0-0)","Estádio do Maracanã, Rio de Janeiro (UTC-3)   # W61 - W62",Mario Götze 113',
1,Thu Jun/12 2014 17:00,Group A,Brazil,Croatia,3-1 (1-1),(1-1),"Arena de São Paulo, São Paulo (UTC-3)","Neymar 29', 71' (pen.) Oscar 90+1'",Marcelo 11' (o.g.)
2,Fri Jun/13 2014 13:00,Group A,Mexico,Cameroon,1-0 (0-0),(0-0),"Estádio das Dunas, Natal (UTC-3)",Oribe Peralta 61',
17,Tue Jun/17 2014 16:00,Group A,Brazil,Mexico,0-0,,"Estádio Castelão, Fortaleza (UTC-3)",,
18,Wed Jun/18 2014 18:00,Group A,Cameroon,Croatia,0-4,,"Arena Amazônia, Manaus (UTC-4)",-,"Ivica Olić 11' Ivan Perišić 48' Mario Mandžukić 61', 73'"
33,Mon Jun/23 2014 17:00,Group A,Cameroon,Brazil,1-4,,"Estádio Nacional Mané Garrincha, Brasília (UTC-3)",Joel Matip 26',"Neymar 17', 35' Fred 49' Fernandinho 84'"
34,Mon Jun/23 2014 17:00,Group A,Croatia,Mexico,1-3,,"Arena Pernambuco, Recife (UTC-3)",Ivan Perišić 87',Rafael Márquez 72' Andres Guardado 75' Javier Hernández 82'
3,Fri Jun/13 2014 16:00,Group B,Spain,Netherlands,1-5 (1-1),(1-1),"Arena Fonte Nova, Salvador (UTC-3)",Xabi Alonso 27' (pen.),"Robin Van Persie  44', 72' Arjen Robben 53', 80' Stefan De Vrij 65'"
4,Fri Jun/13 2014 18:00,Group B,Chile,Australia,3-1 (2-1),(2-1),"Arena Pantanal, Cuiabá (UTC-4)",Alexis Sánchez 12' Jorge Valdívia 14' Jean Beausejour 90+2',Cahill 35'
19,Wed Jun/18 2014 16:00,Group B,Spain,Chile,0-2,,"Estádio do Maracanã, Rio de Janeiro (UTC-3)",-,Eduardo Vargas 20' Charles Aránguiz 43'
20,Wed Jun/18 2014 13:00,Group B,Australia,Netherlands,2-3,,"Estádio Beira-Rio, Porto Alegre (UTC-3)",Tim Cahill 21' Mile Jedinak 54' (pen.),Arjen Robben 20' Robin Van Persie 58' Memphis Depay 68'
35,Mon Jun/23 2014 13:00,Group B,Australia,Spain,0-3,,"Arena da Baixada, Curitiba (UTC-3)",-,David Villa 36' Fernando Torres 69' Juan Mata 82'
36,Mon Jun/23 2014 13:00,Group B,Netherlands,Chile,2-0,,"Arena de São Paulo, São Paulo (UTC-3)",Leroy Fer 77' Memphis Depay 90+2',
5,Sat Jun/14 2014 13:00,Group C,Colombia,Greece,3-0,,"Estádio Mineirão, Belo Horizonte (UTC-3)",Pablo Armero 5' Teofilo Gutiérrez 58' James Rodríguez 90+3',
6,Sat Jun/14 2014 22:00,Group C,Error Error,Error Error,2-1,,"Arena Pernambuco, Recife (UTC-3)",Wilfried Bony 64' Gervinho 66',Keisuke Honda 16'
21,Thu Jun/19 2014 13:00,Group C,Error Error,Error Error,2-1,,"Estádio Nacional Mané Garrincha, Brasília (UTC-3)","James Rodríguez 64', Juan Quintero 70'",Gervinho 73'
22,Thu Jun/19 2014 19:00,Group C,Japan,Greece,0-0,,"Estádio das Dunas, Natal (UTC-3)",,
37,Tue Jun/24 2014 16:00,Group C,Japan,Colombia,1-4,,"Arena Pantanal, Cuiabá (UTC-4)",Shinji Okazaki 45+1',"Juan Cuadrado 17' (pen.) Jackson Martínez 55', 82' James Rodríguez 90'"
38,Tue Jun/24 2014 17:00,Group C,Error Error,Error Error,2-1,,"Estádio Castelão, Fortaleza (UTC-3)",Andreas Samaris 42' Georgios Samaras 90+3' (pen.),Wilfried Bony 74'
7,Sat Jun/14 2014 16:00,Group D,Uruguay,Costa Rica,1-3,,"Estádio Castelão, Fortaleza (UTC-3)",Edinson Cavani 24' (pen.),Joel Campbell 54' Oscar Duarte 57' Marcos Ureña 84'
8,Sat Jun/14 2014 18:00,Group D,England,Italy,1-2,,"Arena Amazônia, Manaus (UTC-4)",Daniel Sturridge 37',Claudio Marchisio 35' Mario Balotelli 50'
23,Thu Jun/19 2014 16:00,Group D,Uruguay,England,2-1,,"Arena de São Paulo, São Paulo (UTC-3)","Luis Suárez 39', 85'",Wayne Rooney 75'
24,Fri Jun/20 2014 13:00,Group D,Italy,Costa Rica,0-1,,"Arena Pernambuco, Recife (UTC-3)",-,Bryan Ruiz 44'
39,Tue Jun/24 2014 13:00,Group D,Italy,Uruguay,0-1,,"Estádio das Dunas, Natal (UTC-3)",-,Diego Godín 81'
40,Tue Jun/24 2014 13:00,Group D,Costa Rica,England,0-0,,"Estádio Mineirão, Belo Horizonte (UTC-3)",,
9,Sun Jun/15 2014 13:00,Group E,Switzerland,Ecuador,2-1,,"Estádio Nacional Mané Garrincha, Brasília (UTC-3)",Admir Mehmedi 48' Haris Seferović 90+3',Enner Valencia 22'
10,Sun Jun/15 2014 16:00,Group E,France,Honduras,3-0,,"Estádio Beira-Rio, Porto Alegre (UTC-3)","Noel Valladares 48' (o.g.) Karim Benzema 45' (pen.), 72'",
25,Fri Jun/20 2014 16:00,Group E,Switzerland,France,2-5,,"Arena Fonte Nova, Salvador (UTC-3)",Blerim Džemaili 81' Granit Xhaka 87',Olivier Giroud 17' Blaise Matuidi 18' Mathieu Valbuena 40' Karim Benzema 67' Moussa Sissoko 73'
26,Fri Jun/20 2014 19:00,Group E,Honduras,Ecuador,1-2,,"Arena da Baixada, Curitiba (UTC-3)",Carlo Costly 31',"Enner Valencia 34', 65'"
41,Wed Jun/25 2014 16:00,Group E,Honduras,Switzerland,0-3,,"Arena Amazônia, Manaus (UTC-4)",-,"Xherdan Shaqiri 6', 31', 71'"
42,Wed Jun/25 2014 17:00,Group E,Ecuador,France,0-0,,"Estádio do Maracanã, Rio de Janeiro (UTC-3)",,
11,Sun Jun/15 2014 19:00,Group F,Error Error,Error Error,2-1,,"Estádio do Maracanã, Rio de Janeiro (UTC-3)",Sead Kolašinac 3' (o.g.) Lionel Messi 65',Vedad Ibišević 85'
12,Mon Jun/16 2014 16:00,Group F,Iran,Nigeria,0-0,,"Arena da Baixada, Curitiba (UTC-3)",,
27,Sat Jun/21 2014 13:00,Group F,Argentina,Iran,1-0,,"Estádio Mineirão, Belo Horizonte (UTC-3)",Lionel Messi 90',
28,Sat Jun/21 2014 18:00,Group F,Error Error,Error Error,1-0,,"Arena Pantanal, Cuiabá (UTC-4)",Peter Odemwingie 29',
43,Wed Jun/25 2014 13:00,Group F,Nigeria,Argentina,2-3,,"Estádio Beira-Rio, Porto Alegre (UTC-3)","Ahmed Musa 4', 47'","Lionel Messi 3', 45+1' Marcos Rojo 50'"
44,Wed Jun/25 2014 13:00,Group F,Error Error,Error Error,3-1,,"Arena Fonte Nova, Salvador (UTC-3)",Edin Džeko 23' Miralem Pjanić 59' Avdija Vršajević 83',Reza Ghoochannejhad 82'
13,Mon Jun/16 2014 13:00,Group G,Germany,Portugal,4-0,,"Arena Fonte Nova, Salvador (UTC-3)","Thomas Müller 12' (pen.), 45+1', 78', Mats Hummels 32'",
14,Mon Jun/16 2014 19:00,Group G,Ghana,United States,1-2,,"Estádio das Dunas, Natal (UTC-3)",André Ayew 82',"Clint Dempsey 1', John Brooks 86'"
29,Sat Jun/21 2014 16:00,Group G,Germany,Ghana,2-2,,"Estádio Castelão, Fortaleza (UTC-3)",Mario Götze 51' Miroslav Klose 71',André Ayew  54' Asamoah Gyan 63'
30,Sun Jun/22 2014 18:00,Group G,United States,Portugal,2-2,,"Arena Amazônia, Manaus (UTC-4)","Jermaine Jones 64', Clint Dempsey 81'","Nani 5', Varela 90+5'"
45,Thu Jun/26 2014 13:00,Group G,United States,Germany,0-1,,"Arena Pernambuco, Recife (UTC-3)",-,Thomas Müller 55'
46,Thu Jun/26 2014 13:00,Group G,Portugal,Ghana,2-1,,"Estádio Nacional Mané Garrincha, Brasília (UTC-3)",John Boye 31' (o.g.) Cristiano Ronaldo 80',Asamoah Gyan 57'
15,Tue Jun/17 2014 13:00,Group H,Belgium,Algeria,2-1,,"Estádio Mineirão, Belo Horizonte (UTC-3)",Marouane Fellaini 70' Dries Mertens 80',Sofiane Feghouli 25' (pen.)
16,Tue Jun/17 2014 18:00,Group H,Russia,South Korea,1-1,,"Arena Pantanal, Cuiabá (UTC-4)",Alexander Kerzhakov 74',Lee Keunho 68'
31,Sun Jun/22 2014 13:00,Group H,Belgium,Russia,1-0,,"Estádio do Maracanã, Rio de Janeiro (UTC-3)",Divock Origi 88',
32,Sun Jun/22 2014 16:00,Group H,South Korea,Algeria,2-4,,"Estádio Beira-Rio, Porto Alegre (UTC-3)",Son Heung Min 50' Koo Jacheol 72',Islam Slimani 26' Rafik Halliche 28' Abdelmoumene Djabou 38' Yacine Brahimi 62'
47,Thu Jun/26 2014 17:00,Group H,South Korea,Belgium,0-1,,"Arena de São Paulo, São Paulo (UTC-3)",-,Jan Vertonghen 78'
48,Thu Jun/26 2014 17:00,Group H,Algeria,Russia,1-1,,"Arena da Baixada, Curitiba (UTC-3)",Islam Slimani 60',Alexander Kokorin 6'
49,Sat Jun/30 2018 21:00,Round of 16,Uruguay,Portugal,2-1 (1-0),(1-0),"Fisht Stadium, Sochi (UTC+3)","Edinson Cavani 7', 62'",Pepe 55'
50,Sat Jun/30 2018 17:00,Round of 16,France,Argentina,4-3 (1-1),(1-1),"Kazan Arena, Kazan (UTC+3)","Antoine Griezmann 13' (pen.) Benjamin Pavard 57' Kylian Mbappé 64', 68'",Ángel Di María 41' Gabriel Mercado 48' Sergio Agüero 90+3'
51,Sun Jul/1 2018 17:00,Round of 16,Spain,Russia,"3-4 pen. 1-1 a.e.t. (1-1, 1-1)","(1-1, 1-1)","Luzhniki Stadium, Moscow (UTC+3)",Sergei Ignashevich 12' (o.g.),Artem Dzyuba 41' (pen.)
52,Sun Jul/1 2018 21:00,Round of 16,Croatia,Denmark,"3-2 pen. 1-1 a.e.t. (1-1, 1-1)","(1-1, 1-1)","Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)",Mario Mandžukić 4',Mathias Jørgensen 1'
53,Mon Jul/2 2018 18:00,Round of 16,Brazil,Mexico,2-0 (0-0),(0-0),"Samara Arena, Samara (UTC+4)",Neymar 51' Roberto Firmino 88',
54,Mon Jul/2 2018 21:00,Round of 16,Belgium,Japan,3-2 (0-0),(0-0),"Rostov Arena, Rostov-on-Don (UTC+3)",Jan Vertonghen 69' Marouane Fellaini 74' Nacer Chadli 90+4',Genki Haraguchi 48' Takashi Inui 52'
55,Tue Jul/3 2018 17:00,Round of 16,Sweden,Switzerland,1-0 (0-0),(0-0),"Saint Petersburg Stadium, Saint Petersburg (UTC+3)",Emil Forsberg 66',
56,Tue Jul/3 2018 21:00,Round of 16,Colombia,England,"3-4 pen. 1-1 a.e.t. (1-1, 0-0)","(1-1, 0-0)","Spartak Stadium, Moscow (UTC+3)",Yerry Mina 90+3',Harry Kane 57' (pen.)
57,Fri Jul/6 2018 17:00,Quarter finals,Uruguay,France,0-2 (0-1),(0-1),"Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)",-,Raphaël Varane 40' Antoine Griezmann 61'
58,Fri Jul/6 2018 21:00,Quarter finals,Brazil,Belgium,1-2 (0-2),(0-2),"Kazan Arena, Kazan (UTC+3)",Renato Augusto 76',Fernandinho 13' (o.g.) Kevin De Bruyne 31'
59,Sat Jul/7 2018 21:00,Quarter finals,Russia,Croatia,"3-4 pen. 2-2 a.e.t. (1-1, 1-1)","(1-1, 1-1)","Fisht Stadium, Sochi (UTC+3)",Denis Cheryshev 31' Mário Figueira Fernandes 115',Andrej Kramarić 39' Domagoj Vida 100'
60,Sat Jul/7 2018 18:00,Quarter finals,Sweden,England,0-2 (0-1),(0-1),"Samara Arena, Samara (UTC+4)",-,Harry Maguire 30' Dele Alli 58'
61,Tue Jul/10 2018 21:00,Semi finals,France,Belgium,1-0 (0-0),(0-0),"Saint Petersburg Stadium, St. Petersburg (UTC+3)",Samuel Umtiti 51',
62,Wed Jul/11 2018 21:00,Semi finals,Croatia,England,"2-1 a.e.t. (1-1, 0-1)","(1-1, 0-1)","Luzhniki Stadium, Moscow (UTC+3)",Ivan Perišić 68' Mario Mandžukić 109',Kieran Trippier 5'
63,Sat Jul/14 2018 17:00,Semi finals,Belgium,England,2-0 (1-0),(1-0),"Saint Petersburg Stadium, St. Petersburg (UTC+3)",Thomas Meunier 4' Eden Hazard 82',
64,Sun Jul/15 2018 18:00,Final,France,Croatia,4-2 (2-1),(2-1),"Luzhniki Stadium, Moscow (UTC+3)",Mandžukić 18' (o.g.) Griezmann 38' (pen.) Pogba 59' Mbappé 65',Perišić 28' Mandžukić 69'
1,Thu Jun/14 2018 18:00,Group A,Russia,Saudi Arabia,5-0 (2-0),(2-0),"Luzhniki Stadium, Moscow (UTC+3)","Gazinsky 12' Cheryshev 43', 90+1' Dzyuba 71' Golovin 90+4'",
2,Fri Jun/15 2018 17:00,Group A,Egypt,Uruguay,0-1 (0-0),(0-0),"Ekaterinburg Arena, Ekaterinburg (UTC+5)",-,Giménez 89'
17,Tue Jun/19 2018 21:00,Group A,Russia,Egypt,3-1 (0-0),(0-0),"Saint Petersburg Stadium, Saint Petersburg (UTC+3)",A. Fathi 47' (o.g.) Cheryshev 59' Dzyuba 62',M. Salah 73' (pen.)
18,Wed Jun/20 2018 18:00,Group A,Uruguay,Saudi Arabia,1-0 (1-0),(1-0),"Rostov Arena, Rostov-on-Don (UTC+3)",L. Suárez 23',
33,Mon Jun/25 2018 18:00,Group A,Uruguay,Russia,3-0 (2-0),(2-0),"Samara Arena, Samara (UTC+4)",L. Suárez 10' Cheryshev 23' (o.g.) E. Cavani 90',
34,Mon Jun/25 2018 17:00,Group A,Saudi Arabia,Egypt,2-1 (1-1),(1-1),"Volgograd Arena, Volgograd (UTC+3)",Salman Al-Faraj 45+6' (pen.) Salem Al-Dawsari 90+5',M. Salah 22'
4,Fri Jun/15 2018 18:00,Group B,Morocco,Iran,0-1 (0-0),(0-0),"Saint Petersburg Stadium, Saint Petersburg (UTC+3)",-,Bouhaddouz 90+5' (o.g.)
3,Fri Jun/15 2018 21:00,Group B,Portugal,Spain,3-3 (2-1),(2-1),"Fisht Stadium, Sochi (UTC+3)","Ronaldo 4' (pen.), 44', 88'","Costa 24', 55' Nacho 58'"
19,Wed Jun/20 2018 15:00,Group B,Portugal,Morocco,1-0 (1-0),(1-0),"Luzhniki Stadium, Moscow (UTC+3)",Ronaldo 4',
20,Wed Jun/20 2018 21:00,Group B,Iran,Spain,0-1 (0-0),(0-0),"Kazan Arena, Kazan (UTC+3)",-,Diego Costa 54'
35,Mon Jun/25 2018 21:00,Group B,Iran,Portugal,1-1 (0-1),(0-1),"Mordovia Arena, Saransk (UTC+3)",Karim Ansarifard 90+3' (pen.),Quaresma 45'
36,Mon Jun/25 2018 20:00,Group B,Spain,Morocco,2-2 (1-1),(1-1),"Kaliningrad Stadium, Kaliningrad (UTC+2)",Isco 19' Iago Aspas 90+1',Boutaib 14' En-Nesyri 81'
5,Sat Jun/16 2018 13:00,Group C,France,Australia,2-1 (0-0),(0-0),"Kazan Arena, Kazan (UTC+3)",Griezmann 58' (pen.) Behich 81' (o.g.),Jedinak 62' (pen.)
6,Sat Jun/16 2018 19:00,Group C,Peru,Denmark,0-1 (0-0),(0-0),"Mordovia Arena, Saransk (UTC+3)",-,Poulsen 59'
22,Thu Jun/21 2018 16:00,Group C,Denmark,Australia,1-1 (1-1),(1-1),"Samara Arena, Samara (UTC+4)",Eriksen 7',Jedinak 38' (pen.)
21,Thu Jun/21 2018 20:00,Group C,France,Peru,1-0 (1-0),(1-0),"Ekaterinburg Arena, Ekaterinburg (UTC+5)",Mbappé 34',
37,Tue Jun/26 2018 17:00,Group C,Denmark,France,0-0 (0-0),(0-0),"Luzhniki Stadium, Moscow (UTC+3)",,
38,Tue Jun/26 2018 17:00,Group C,Australia,Peru,0-2 (0-1),(0-1),"Fisht Stadium, Sochi (UTC+3)",-,Carrillo 18' Guerrero 50'
7,Sat Jun/16 2018 16:00,Group D,Argentina,Iceland,1-1 (1-1),(1-1),"Spartak Stadium, Moscow (UTC+3)",Agüero 19',Finnbogason 23'
8,Sat Jun/16 2018 21:00,Group D,Croatia,Nigeria,2-0 (1-0),(1-0),"Kaliningrad Stadium, Kaliningrad (UTC+2)",Etebo 32' (o.g.) Modrić 71' (pen.),
23,Thu Jun/21 2018 21:00,Group D,Argentina,Croatia,0-3 (0-0),(0-0),"Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)",-,Rebić 53' Modrić 80' Rakitić 90+1'
24,Fri Jun/22 2018 18:00,Group D,Nigeria,Iceland,2-0 (0-0),(0-0),"Volgograd Arena, Volgograd (UTC+3)","Musa 49', 75'",
39,Tue Jun/26 2018 21:00,Group D,Nigeria,Argentina,1-2 (0-1),(0-1),"Saint Petersburg Stadium, Saint Petersburg (UTC+3)",Moses 51' (pen.),Messi 14' Marcos Rojo 86'
40,Tue Jun/26 2018 21:00,Group D,Iceland,Croatia,1-2 (0-0),(0-0),"Rostov Arena, Rostov-on-Don (UTC+3)",G. Sigurðsson 76' (pen.),Badelj 53' Perišić 90'
10,Sun Jun/17 2018 16:00,Group E,Costa Rica,Serbia,0-1 (0-0),(0-0),"Samara Arena, Samara (UTC+4)",-,Kolarov 56'
9,Sun Jun/17 2018 21:00,Group E,Brazil,Switzerland,1-1 (1-0),(1-0),"Rostov Arena, Rostov-on-Don (UTC+3)",Coutinho 20',Zuber 50'
25,Fri Jun/22 2018 15:00,Group E,Brazil,Costa Rica,2-0 (0-0),(0-0),"Saint Petersburg Stadium, Saint Petersburg (UTC+3)",P. Coutinho 90+1 Neymar Jr 90+7',
26,Fri Jun/22 2018 20:00,Group E,Serbia,Switzerland,1-2 (1-0),(1-0),"Kaliningrad Stadium, Kaliningrad (UTC+2)",Mitrović 5',Xhaka 52' Shaqiri 90'
41,Wed Jun/27 2018 21:00,Group E,Serbia,Brazil,0-2 (0-1),(0-1),"Spartak Stadium, Moscow (UTC+3)",-,Paulinho 36' Thiago Silva 68'
42,Wed Jun/27 2018 21:00,Group E,Switzerland,Costa Rica,2-2 (1-0),(1-0),"Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)",Džemaili 31' Drmić 88',Waston 56' Sommer 90+3' (o.g.)
11,Sun Jun/17 2018 18:00,Group F,Germany,Mexico,0-1 (0-1),(0-1),"Luzhniki Stadium, Moscow (UTC+3)",-,Lozano 35'
12,Mon Jun/18 2018 15:00,Group F,Sweden,South Korea,1-0 (0-0),(0-0),"Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)",Granqvist 65' (pen.),
28,Sat Jun/23 2018 18:00,Group F,South Korea,Mexico,1-2 (0-1),(0-1),"Rostov Arena, Rostov-on-Don (UTC+3)",Son Heung-min 90+3',Carlos V. 26' (pen.) J. Hernández 66'
27,Sat Jun/23 2018 21:00,Group F,Germany,Sweden,2-1 (0-1),(0-1),"Fisht Stadium, Sochi (UTC+3)",Reus 48' Kroos 90+5',Toivonen 32'
43,Wed Jun/27 2018 17:00,Group F,South Korea,Germany,2-0 (0-0),(0-0),"Kazan Arena, Kazan (UTC+3)",Kim Young-gwon 90+2' Son Heung-min 90+6',
44,Wed Jun/27 2018 19:00,Group F,Mexico,Sweden,0-3 (0-0),(0-0),"Ekaterinburg Arena, Ekaterinburg (UTC+5)",-,Augustinsson 50' Granqvist 62' (pen.) Álvarez 74' (o.g.)
13,Mon Jun/18 2018 18:00,Group G,Belgium,Panama,3-0 (0-0),(0-0),"Fisht Stadium, Sochi (UTC+3)","Mertens 47' Lukaku 69', 75'",
14,Mon Jun/18 2018 21:00,Group G,Tunisia,England,1-2 (1-1),(1-1),"Volgograd Arena, Volgograd (UTC+3)",Sassi 35' (pen.),"Kane 11', 90+1'"
29,Sat Jun/23 2018 15:00,Group G,Belgium,Tunisia,5-2 (3-1),(3-1),"Spartak Stadium, Moscow (UTC+3)","E. Hazard 6' (pen.), 51' R. Lukaku 16', 45+3', Batshuayi 90'",Bronn 18' Khazri 90+3'
30,Sun Jun/24 2018 15:00,Group G,England,Panama,6-1 (5-0),(5-0),"Nizhny Novgorod Stadium, Nizhny Novgorod (UTC+3)","Stones 8', 40' Kane 22' (pen.), 45+1' (pen.), 62' Lingard 36'",Baloy 78'
45,Thu Jun/28 2018 20:00,Group G,England,Belgium,0-1 (0-0),(0-0),"Kaliningrad Stadium, Kaliningrad (UTC+2)",-,Adnan Januzaj 51'
46,Thu Jun/28 2018 21:00,Group G,Panama,Tunisia,1-2 (1-0),(1-0),"Mordovia Arena, Saransk (UTC+3)",Yassine Meriah 33' (o.g.),Fakhereedine Ben Youssef 51' Wahbi Khazri 66'
16,Tue Jun/19 2018 15:00,Group H,Colombia,Japan,1-2 (1-1),(1-1),"Mordovia Arena, Saransk (UTC+3)",J. Quintero 39',Kagawa 6' (pen.) Osako 73'
15,Tue Jun/19 2018 18:00,Group H,Poland,Senegal,1-2 (0-1),(0-1),"Spartak Stadium, Moscow (UTC+3)",Krychowiak 86',Cionek 37' (o.g.) Niang 60'
32,Sun Jun/24 2018 20:00,Group H,Japan,Senegal,2-2 (1-1),(1-1),"Ekaterinburg Arena, Ekaterinburg (UTC+5)",Inui 34' Honda 78',Mané 11' M. Wagué 71'
31,Sun Jun/24 2018 21:00,Group H,Poland,Colombia,0-3 (0-1),(0-1),"Kazan Arena, Kazan (UTC+3)",-,Y. Mina 40' Falcao 70' Cuadrado 75'
47,Thu Jun/28 2018 17:00,Group H,Japan,Poland,0-1 (0-1),(0-1),"Volgograd Arena, Volgograd (UTC+3)",-,Bednarek 59'
48,Thu Jun/28 2018 18:00,Group H,Senegal,Colombia,0-1 (0-1),(0-1),"Samara Arena, Samara (UTC+4)",-,Y. Mina 74'
49,Sat Dec/3 2022 18:00,Round of 16,Netherlands,United States,3-1 (2-0),(2-0),"Khalifa International Stadium, Al Rayyan",Memphis Depay 10' Daley Blind 45+1' Denzel Dumfries 81',Haji Wright 76'
50,Sat Dec/3 2022 22:00,Round of 16,Argentina,Australia,2-1 (1-0),(1-0),"Ahmad bin Ali Stadium, Al Rayyan",Lionel Messi 35' Julián Álvarez 57',Enzo Fernández 77'(o.g.)
52,Sun Dec/4 2022 18:00,Round of 16,France,Poland,3-1 (1-0),(1-0),"Al Thumama Stadium, Doha","Olivier Giroud 44' Mbappé 74', 90+1'",Robert Lewandowski 90+9'(pen.)
51,Sun Dec/4 2022 22:00,Round of 16,England,Senegal,3-0 (2-0),(2-0),"Al Bayt Stadium, Al Khor",Jordan Henderson 38' Harry Kane 45+3' Bukayo Saka 57',
53,Mon Dec/5 2022 18:00,Round of 16,Japan,Croatia,"1-3 pen. 1-1 a.e.t (1-1, 1-0)","(1-1, 1-0)","Al Janoub Stadium, Al Wakrah",Daizen Maeda 43',Ivan Perišić 55'
54,Mon Dec/5 2022 22:00,Round of 16,Brazil,South Korea,4-1 (4-0),(4-0),"Stadium 974, Doha",Vinícius Jr. 7' Neymar 13'(pen.) Richarlison 29' Lucas Paquetá 36',Paik Seung-ho 76'
55,Tue Dec/6 2022 18:00,Round of 16,Morocco,Spain,"3-0 pen. 0-0 a.e.t. (0-0, 0-0)","(0-0, 0-0)","Education City Stadium, Al Rayyan",,
56,Tue Dec/6 2022 22:00,Round of 16,Portugal,Switzerland,6-1 (2-0),(2-0),"Lusail Iconic Stadium, Lusail","Gonçalo Ramos 17', 51', 67' Pepe 33' Raphaël Guerreiro 55' Rafael Leão 90+2'",Manuel Akanji 58'
58,Fri Dec/9 2022 18:00,Quarter finals,Croatia,Brazil,"4-2 pen. 1-1 a.e.t. (0-0, 0-0)","(0-0, 0-0)","Education City Stadium, Al Rayyan",Bruno Petković 117',Neymar 105+1'
57,Fri Dec/9 2022 22:00,Quarter finals,Netherlands,Argentina,"3-4 pen. 2-2 a.e.t. (2-2, 1-0)","(2-2, 1-0)","Lusail Iconic Stadium, Lusail","Wout Werghost 83', 90+11'",Nahuel Molina 35' Lionel Messi 73'(pen.)
60,Sat Dec/10 2022 18:00,Quarter finals,Morocco,Portugal,1-0 (1-0),(1-0),"Al Thumama Stadium, Doha",Youssef En-Nesyri 42',
59,Sat Dec/10 2022 22:00,Quarter finals,England,France,1-2 (0-1),(0-1),"Al Bayt Stadium, Al Khor",Harry Kane 54'(pen.),Aurelién Tchouaméni 17' Olivier Giroud 78'
61,Tue Dec/13 2022 22:00,Semi finals,Argentina,Croatia,3-0 (2-0),(2-0),"Lusail Iconic Stadium, Lusail","Lionel Messi 34'(pen.) Julián Álvarez 39', 69'",
62,Wed Dec/14 2022 22:00,Semi finals,France,Morocco,2-0 (1-0),(1-0),"Al Bayt Stadium, Al Khor",Théo Hernandez 5' Kolo Muani 79',
63,Sat Dec/17 2022 18:00,Semi finals,Croatia,Morocco,2-1 (2-1),(2-1),"Khalifa International Stadium, Al Rayyan",Joško Gvardiol 7' Mislav Oršić 42',Achraf Dari 9'
64,Sun Dec/18 2022 18:00,Final,Argentina,France,"4-2 pen. 3-3 a.e.t. (2-2, 2-0)","(2-2, 2-0)","Lusail Iconic Stadium, Lusail","Lionel Messi 23'(pen.), 108' Ángel Di María 36'","Kylian Mbappé 80' (pen.), 81', 118' (pen.)"
1,Sun Nov/20 2022 19:00,Group A,Qatar,Ecuador,0-2 (0-2),(0-2),"Al Bayt Stadium, Al Khor",-,"Enner Valencia 16' (pen.), 31'"
2,Mon Nov/21 2022 19:00,Group A,Senegal,Netherlands,0-2 (0-0),(0-0),"Al Thumama Stadium, Doha",-,Cody Gakpo 84' Davy Klaassen 90+9'
18,Fri Nov/25 2022 16:00,Group A,Qatar,Senegal,1-3 (0-1),(0-1),"Al Thumama Stadium, Doha",Mohammed Muntari 78',Boulaye Dia 41' Famara Diédhiou 48' Bamba Dieng 84'
19,Fri Nov/25 2022 19:00,Group A,Netherlands,Ecuador,1-1 (1-0),(1-0),"Khalifa International Stadium, Al Rayyan",Cody Gakpo 6',Enner Valencia 49'
35,Tue Nov/29 2022 18:00,Group A,Ecuador,Senegal,1-2 (0-1),(0-1),"Khalifa International Stadium, Al Rayyan",Moisés Caicedo 67',Ismaila Sarr 44'(pen.)  Koulibaly 70'
36,Tue Nov/29 2022 18:00,Group A,Netherlands,Qatar,2-0 (1-0),(1-0),"Al Bayt Stadium, Al Khor",Cody Gakpo 26'  Frenkie de Jong 49',
3,Mon Nov/21 2022 16:00,Group B,England,Iran,6-2 (3-0),(3-0),"Khalifa International Stadium, Al Rayyan","Jude Bellingham 35' Bukayo Saka 43', 62' Raheem Sterling 45+1' Marcus Rashford 71' Jack Grealish 90'","Mehdi Taremi 65', 90+13' (pen.)"
4,Mon Nov/21 2022 22:00,Group B,United States,Wales,1-1 (1-0),(1-0),"Ahmad bin Ali Stadium, Al Rayyan",Timothy Weah 36',Gareth Bale 82' (pen.)
17,Fri Nov/25 2022 13:00,Group B,Wales,Iran,0-2 (0-0),(0-0),"Ahmad bin Ali Stadium, Al Rayyan",-,Roozbeh Cheshmi 90+8'  Ramin Rezaeian 90+11'
20,Fri Nov/25 2022 22:00,Group B,England,United States,0-0,,"Al Bayt Stadium, Al Khor",,
33,Tue Nov/29 2022 22:00,Group B,Wales,England,0-3 (0-0),(0-0),"Ahmad bin Ali Stadium, Al Rayyan",-,Rashford 50'  Foden 51'  Rashford 68'
34,Tue Nov/29 2022 22:00,Group B,Iran,United States,0-1 (0-1),(0-1),"Al Thumama Stadium, Doha",-,Pulisic 38'
